County,Year,State,Region,Economic Type,Urban or Rural,% Children in Poverty,% Excessive Drinking,High School Graduation Rate,Hospital Overuse,% Low Birth Weight,Median Family Income,Mentally Unhealthy Days,% Receiving Diabetes Monitoring,Teen Birth Rate,% Unemployed
Highland,2014-01-01,Virginia,South,Nonspecialized,Rural,21,,,65,,55726,,88,,6.1
Isle of Wight,2014-01-01,Virginia,South,Maufacturing,Urban,13,14,84,54,8.4,78143,3.1,87,25,6
James City,2014-01-01,Virginia,South,Recreation,Urban,11,9,83,48,6.4,90964,3,87,22,5.1
King and Queen,2014-01-01,Virginia,South,Nonspecialized,Rural,21,,73,66,10.6,52589,,88,51,6.8
King George,2014-01-01,Virginia,South,Federal/State Government,Rural,10,,87,77,7.6,93893,,87,31,7
King William,2014-01-01,Virginia,South,Maufacturing,Urban,13,,86,57,7.7,69473,1.7,89,29,6.3
Lancaster,2014-01-01,Virginia,South,Recreation,Rural,28,19,88,41,12.2,63818,,90,39,8.2
Lee,2014-01-01,Virginia,South,Federal/State Government,Rural,37,11,85,158,8.4,41303,5,81,55,8.3
Loudoun,2014-01-01,Virginia,South,Nonspecialized,Urban,4,19,92,52,6.9,135833,2.4,84,13,4.2
Louisa,2014-01-01,Virginia,South,Recreation,Rural,17,15,86,55,9.3,68394,2.6,89,37,6.4
Lunenburg,2014-01-01,Virginia,South,Federal/State Government,Rural,32,,68,57,8.3,44189,3.1,92,50,8.4
Madison,2014-01-01,Virginia,South,Nonspecialized,Rural,19,,83,52,7.8,60167,5.5,91,33,4.7
Mathews,2014-01-01,Virginia,South,Recreation,Urban,18,,88,50,8.1,74939,,95,24,5.4
Mecklenburg,2014-01-01,Virginia,South,Nonspecialized,Rural,28,11,83,62,11,49973,3,89,46,9.8
Middlesex,2014-01-01,Virginia,South,Recreation,Rural,26,29,83,50,10,63913,,88,29,6.3
Montgomery,2014-01-01,Virginia,South,Federal/State Government,Urban,18,14,83,64,7.2,68804,4,88,13,6.1
Nelson,2014-01-01,Virginia,South,Recreation,Urban,23,12,78,64,6.2,62847,,88,37,5.4
New Kent,2014-01-01,Virginia,South,Nonspecialized,Urban,10,,83,44,7.7,86197,4,88,22,5.6
Northampton,2014-01-01,Virginia,South,Nonspecialized,Rural,35,17,63,58,10.4,50910,4.2,91,61,8.8
Northumberland,2014-01-01,Virginia,South,Recreation,Rural,29,,73,42,12.3,59369,,92,55,8.5
Nottoway,2014-01-01,Virginia,South,Federal/State Government,Rural,30,23,73,69,10.8,54032,3.6,88,50,7.2
Orange,2014-01-01,Virginia,South,Nonspecialized,Rural,14,18,88,46,6.7,71201,3,89,36,6.6
Page,2014-01-01,Virginia,South,Recreation,Rural,22,14,90,108,5.9,49727,3.8,88,41,10.1
Patrick,2014-01-01,Virginia,South,Maufacturing,Rural,27,12,88,68,8.2,42290,5.7,91,35,8
Pittsylvania,2014-01-01,Virginia,South,Nonspecialized,Rural,21,9,83,66,8.6,51134,4,88,34,7.3
Powhatan,2014-01-01,Virginia,South,Federal/State Government,Urban,9,22,85,46,7.2,87309,,88,13,5.4
Prince Edward,2014-01-01,Virginia,South,Federal/State Government,Rural,29,,68,76,10.9,51662,3.8,86,18,8.7
Prince George,2014-01-01,Virginia,South,Federal/State Government,Urban,13,18,77,72,7.9,68408,2.1,78,24,6.5
Prince William,2014-01-01,Virginia,South,Nonspecialized,Urban,10,19,84,56,7.3,107512,2.9,83,32,4.9
Pulaski,2014-01-01,Virginia,South,Maufacturing,Urban,23,14,77,113,8.9,55678,4.7,87,49,6.5
Rappahannock,2014-01-01,Virginia,South,Recreation,Urban,17,,88,61,6.9,72531,,83,24,5
Richmond,2014-01-01,Virginia,South,Federal/State Government,Rural,24,16,78,75,9.5,65735,4.3,88,44,8.7
Roanoke,2014-01-01,Virginia,South,Nonspecialized,Urban,9,12,89,48,7.7,76258,3.1,88,22,5.2
Rockbridge,2014-01-01,Virginia,South,Nonspecialized,Rural,18,17,77,57,8.7,60233,1.4,91,44,5.9
Rockingham,2014-01-01,Virginia,South,Nonspecialized,Urban,14,11,,76,7.4,61917,2.6,88,29,5.3
Russell,2014-01-01,Virginia,South,Nonspecialized,Rural,24,,80,184,8,48495,5,86,43,8.8
Scott,2014-01-01,Virginia,South,Farming,Urban,28,,90,123,9.1,47016,4.1,91,51,8.4
Shenandoah,2014-01-01,Virginia,South,Maufacturing,Rural,18,15,84,80,6.9,56330,2.8,88,42,6.6
Smyth,2014-01-01,Virginia,South,Maufacturing,Rural,28,,77,99,9.5,47275,5.6,87,59,8.8
Southampton,2014-01-01,Virginia,South,Federal/State Government,Rural,23,26,78,77,10.6,59970,,82,33,7.1
Spotsylvania,2014-01-01,Virginia,South,Nonspecialized,Urban,12,14,82,67,7.4,88880,2.9,86,30,5
Stafford,2014-01-01,Virginia,South,Federal/State Government,Urban,7,15,89,70,6.9,108002,3.6,83,23,4.9
Surry,2014-01-01,Virginia,South,Nonspecialized,Rural,20,,88,57,10,63390,,89,31,7.3
Sussex,2014-01-01,Virginia,South,Federal/State Government,Urban,27,,73,86,11.8,49318,,94,60,8.3
Tazewell,2014-01-01,Virginia,South,Nonspecialized,Rural,26,10,72,150,10.6,46768,6.3,84,49,7
Warren,2014-01-01,Virginia,South,Nonspecialized,Urban,15,14,87,88,6.9,71629,4.3,88,33,5.9
Washington,2014-01-01,Virginia,South,Nonspecialized,Urban,20,,84,96,8.4,54806,3.8,89,45,7.1
Westmoreland,2014-01-01,Virginia,South,Recreation,Rural,29,,69,61,10,57805,,90,50,7.5
Wise,2014-01-01,Virginia,South,Mining,Rural,29,10,84,160,9.4,48186,6.6,84,58,7.7
Wythe,2014-01-01,Virginia,South,Maufacturing,Rural,23,,78,66,8.8,50351,3.6,88,45,6.7
York,2014-01-01,Virginia,South,Recreation,Urban,8,13,91,42,6.7,94458,2.5,84,12,5.1
Alexandria City,2014-01-01,Virginia,South,Federal/State Government,Urban,14,22,70,49,7.5,109228,2.1,83,45,4.6
Bristol City,2014-01-01,Virginia,South,Nonspecialized,Urban,33,,68,126,9,43207,,87,36,8
Buena Vista City,2014-01-01,Virginia,South,Nonspecialized,Rural,24,,83,67,5.5,44656,,80,24,7.3
Charlottesville City,2014-01-01,Virginia,South,Federal/State Government,Urban,23,,85,,8.4,67685,1.3,92,25,5.9
Chesapeake City,2014-01-01,Virginia,South,Nonspecialized,Urban,14,16,85,59,8.9,80268,2.3,87,31,6
Colonial Heights City,2014-01-01,Virginia,South,Nonspecialized,Urban,16,,84,66,10.2,66381,,85,47,6.8
Covington City,2014-01-01,Virginia,South,Maufacturing,Rural,24,,58,126,13.8,48538,,84,31,9.5
Danville City,2014-01-01,Virginia,South,Nonspecialized,Rural,41,11,69,69,11.6,41731,2.3,86,61,10.6
Emporia City,2014-01-01,Virginia,South,Maufacturing,Rural,35,,71,132,11.3,39259,,85,51,11.6
Fairfax City,2014-01-01,Virginia,South,Nonspecialized,Urban,7,16,,,7.9,121961,1.6,,20,6.2
Falls Church City,2014-01-01,Virginia,South,Nonspecialized,Urban,3,,93,33,7.5,156120,,82,8,6.8
Franklin City,2014-01-01,Virginia,South,Federal/State Government,Rural,33,,73,82,12.9,42500,3,87,59,10.2
Fredericksburg City,2014-01-01,Virginia,South,Nonspecialized,Urban,21,,81,72,8.8,61850,3.8,86,29,8.5
Galax City,2014-01-01,Virginia,South,Nonspecialized,Rural,36,,83,59,7.1,45640,,90,89,8.7
Hampton City,2014-01-01,Virginia,South,Federal/State Government,Urban,25,16,80,41,9.8,60844,3.5,82,37,7.8
Harrisonburg City,2014-01-01,Virginia,South,Nonspecialized,Urban,27,,82,66,6.8,56077,,87,13,6.8
Hopewell City,2014-01-01,Virginia,South,Federal/State Government,Urban,30,,71,83,10.7,49730,4.3,86,80,8.7
Lexington City,2014-01-01,Virginia,South,Nonspecialized,Rural,12,,,57,,59219,,91,6,11.4
Lynchburg City,2014-01-01,Virginia,South,Nonspecialized,Urban,29,17,75,61,8.4,51040,2.8,88,27,7.6
Manassas City,2014-01-01,Virginia,South,Nonspecialized,Urban,17,,69,51,7.1,74946,,88,50,6.3
Manassas Park City,2014-01-01,Virginia,South,Nonspecialized,Urban,14,,82,72,6.9,78063,,83,41,5
Martinsville City,2014-01-01,Virginia,South,Nonspecialized,Rural,39,,78,77,11.1,41920,,86,67,16
Newport News City,2014-01-01,Virginia,South,Maufacturing,Urban,25,17,76,44,9.5,59271,4.3,83,48,7.2
Norfolk City,2014-01-01,Virginia,South,Federal/State Government,Urban,28,19,68,62,10.7,51689,3.6,83,52,7.9
Norton City,2014-01-01,Virginia,South,Mining,Rural,31,,83,150,9.3,47898,,88,48,6.7
Petersburg City,2014-01-01,Virginia,South,Nonspecialized,Urban,38,,59,71,13.7,40300,,84,96,11.3
Poquoson City,2014-01-01,Virginia,South,Recreation,Urban,7,,90,39,7.1,96558,,86,11,5.4
Portsmouth City,2014-01-01,Virginia,South,Federal/State Government,Urban,30,14,72,48,11.2,54858,4.4,83,69,8.3
Radford City,2014-01-01,Virginia,South,Federal/State Government,Urban,20,,88,53,8.7,57976,2.7,92,9,7.7
Richmond City,2014-01-01,Virginia,South,Federal/State Government,Urban,37,16,59,47,11.9,50679,3.3,82,47,8.5
Roanoke City,2014-01-01,Virginia,South,Nonspecialized,Urban,30,13,68,59,10.7,50677,4.3,86,74,7.3
Salem City,2014-01-01,Virginia,South,Nonspecialized,Urban,15,,87,55,8.2,63770,,88,25,5.9
Staunton City,2014-01-01,Virginia,South,Nonspecialized,Urban,25,,70,46,7,61829,,85,36,6.4
Suffolk City,2014-01-01,Virginia,South,Nonspecialized,Urban,18,17,77,58,10.1,78566,2.8,86,37,6.8
Virginia Beach City,2014-01-01,Virginia,South,Nonspecialized,Urban,14,22,82,51,8,78787,3.5,84,28,5.6
Waynesboro City,2014-01-01,Virginia,South,Nonspecialized,Urban,25,,75,41,7.5,55792,,90,61,6.9
Williamsburg City,2014-01-01,Virginia,South,Recreation,Urban,24,,,44,12.2,68371,,84,9,13.4
Winchester City,2014-01-01,Virginia,South,Nonspecialized,Urban,23,,83,75,7.4,57300,,90,56,6.8
Adams,2014-01-01,Washington,West,Farming,Rural,27,12,80,49,6.4,48357,2.5,90,97,8.8
Asotin,2014-01-01,Washington,West,Nonspecialized,Urban,24,16,70,51,6.3,51777,3.7,82,42,8.8
Benton,2014-01-01,Washington,West,Nonspecialized,Urban,21,13,78,53,6.7,72510,3.1,86,41,8.7
Chelan,2014-01-01,Washington,West,Recreation,Urban,23,15,72,39,6.5,60489,2.8,91,44,7.7
Clallam,2014-01-01,Washington,West,Nonspecialized,Rural,23,14,65,36,5,60424,3.8,89,34,9.9
Clark,2014-01-01,Washington,West,Nonspecialized,Urban,16,16,80,58,6.1,69744,3.4,86,28,10.4
Columbia,2014-01-01,Washington,West,Farming,Urban,23,15,,30,,50321,3.3,80,37,10.2
Cowlitz,2014-01-01,Washington,West,Nonspecialized,Urban,24,19,79,53,6.7,57511,4.1,88,47,10.9
Douglas,2014-01-01,Washington,West,Farming,Urban,24,14,76,39,6.3,54980,3,91,46,7.5
Ferry,2014-01-01,Washington,West,Federal/State Government,Rural,29,18,,56,5.7,43214,3.1,79,36,13
Franklin,2014-01-01,Washington,West,Nonspecialized,Urban,25,14,67,43,6.7,60113,2.6,85,75,9.4
Garfield,2014-01-01,Washington,West,Federal/State Government,Rural,21,11,,,,58750,3.8,93,19,7.8
Grant,2014-01-01,Washington,West,Farming,Rural,27,14,67,42,6.3,53059,2.9,91,69,9.4
Grays Harbor,2014-01-01,Washington,West,Nonspecialized,Rural,30,22,70,62,6.2,54407,4.3,85,46,12.5
Island,2014-01-01,Washington,West,Recreation,Rural,14,16,83,30,4.8,71114,3.4,89,24,8.2
Jefferson,2014-01-01,Washington,West,Recreation,Rural,24,16,84,31,4.7,61787,4.1,88,25,9.4
King,2014-01-01,Washington,West,Nonspecialized,Urban,15,18,79,39,6.6,94597,2.9,88,19,6.8
Kitsap,2014-01-01,Washington,West,Federal/State Government,Urban,14,17,81,38,6.3,75238,3.4,86,26,7.4
Kittitas,2014-01-01,Washington,West,Federal/State Government,Rural,20,17,80,50,4.6,65103,3.1,89,12,8.3
Klickitat,2014-01-01,Washington,West,Nonspecialized,Rural,27,15,72,49,6.4,51685,3.2,87,36,9.6
Lewis,2014-01-01,Washington,West,Nonspecialized,Rural,24,14,79,43,6,53533,3.4,83,44,12.4
Lincoln,2014-01-01,Washington,West,Farming,Rural,21,16,,84,5.8,62000,3.4,86,26,7.7
Mason,2014-01-01,Washington,West,Recreation,Rural,26,16,68,46,6.1,58637,4.4,87,44,10.4
Okanogan,2014-01-01,Washington,West,Farming,Rural,33,15,71,46,7.9,47533,3.9,91,58,9.2
Pacific,2014-01-01,Washington,West,Recreation,Rural,29,15,73,61,6.1,51103,4.5,86,37,11.3
Pend Oreille,2014-01-01,Washington,West,Nonspecialized,Urban,32,17,88,58,6.8,48070,3,89,46,11.6
Pierce,2014-01-01,Washington,West,Nonspecialized,Urban,18,16,74,51,6.4,70892,3.6,84,34,8.9
San Juan,2014-01-01,Washington,West,Recreation,Rural,20,21,84,22,3.8,65548,2.7,84,14,6.2
Skagit,2014-01-01,Washington,West,Nonspecialized,Urban,21,16,77,54,5.5,65063,3.9,87,45,9.2
Skamania,2014-01-01,Washington,West,Recreation,Urban,22,20,73,51,5.5,66104,3.3,79,28,10.8
Snohomish,2014-01-01,Washington,West,Maufacturing,Urban,13,18,80,37,5.9,81956,3.6,88,23,7.8
Spokane,2014-01-01,Washington,West,Nonspecialized,Urban,20,17,82,41,6.6,63873,3.6,88,29,8.6
Stevens,2014-01-01,Washington,West,Nonspecialized,Urban,28,18,80,47,6.1,52742,3.7,86,37,11.5
Thurston,2014-01-01,Washington,West,Federal/State Government,Urban,17,16,82,40,5.8,75361,3.6,79,24,7.8
Wahkiakum,2014-01-01,Washington,West,Nonspecialized,Rural,24,18,,30,,49523,4.3,94,29,12.2
Walla Walla,2014-01-01,Washington,West,Federal/State Government,Urban,27,14,85,31,6,61013,2.8,86,33,7.2
Whatcom,2014-01-01,Washington,West,Recreation,Urban,19,17,76,42,4.9,68084,3.4,82,20,7.5
Whitman,2014-01-01,Washington,West,Federal/State Government,Rural,19,17,86,52,6,65192,3,90,5,6.3
Yakima,2014-01-01,Washington,West,Nonspecialized,Urban,32,14,71,67,6.8,49538,3.6,87,68,9.8
Barbour,2014-01-01,West Virginia,South,Mining,Rural,30,,78,104,6.5,43805,3.7,89,40,7.8
Berkeley,2014-01-01,West Virginia,South,Federal/State Government,Urban,19,14,81,79,7.6,63535,3.8,84,49,7
Boone,2014-01-01,West Virginia,South,Mining,Urban,26,9,76,138,10.1,54142,5.5,81,69,10.9
Braxton,2014-01-01,West Virginia,South,Nonspecialized,Rural,29,,83,71,9,44768,3.4,86,54,9.5
Brooke,2014-01-01,West Virginia,South,Maufacturing,Urban,22,15,89,108,8.1,56314,4.2,83,27,9.6
Cabell,2014-01-01,West Virginia,South,Nonspecialized,Urban,26,9,71,81,10.9,51898,4.7,85,48,6.8
Calhoun,2014-01-01,West Virginia,South,Mining,Rural,30,16,88,114,11.1,35840,3.9,87,55,10.9
Clay,2014-01-01,West Virginia,South,Mining,Urban,34,,83,108,9.2,40070,4.1,88,67,12.3
Doddridge,2014-01-01,West Virginia,South,Mining,Rural,28,9,93,92,9.5,47386,3.8,83,35,7.1
Fayette,2014-01-01,West Virginia,South,Federal/State Government,Urban,31,15,71,121,10.6,42776,5.1,84,68,8.2
Gilmer,2014-01-01,West Virginia,South,Federal/State Government,Rural,30,14,83,128,8.7,50089,4.4,82,24,7
Grant,2014-01-01,West Virginia,South,Nonspecialized,Rural,24,,83,92,7.7,49369,5.3,77,54,10.8
Greenbrier,2014-01-01,West Virginia,South,Recreation,Rural,25,7,74,83,8.4,50835,3.7,85,45,7.8
Hampshire,2014-01-01,West Virginia,South,Recreation,Urban,27,11,83,103,6.4,42977,3.4,85,47,7.5
Hancock,2014-01-01,West Virginia,South,Maufacturing,Urban,24,15,80,118,7.1,51340,4.5,81,34,9.4
Hardy,2014-01-01,West Virginia,South,Maufacturing,Rural,23,12,78,91,7.3,45692,3.9,86,41,8.2
Harrison,2014-01-01,West Virginia,South,Federal/State Government,Rural,30,7,78,98,8.8,56556,4.3,82,49,6.3
Jackson,2014-01-01,West Virginia,South,Maufacturing,Rural,27,11,76,103,8.1,54453,3.8,81,39,9.1
Jefferson,2014-01-01,West Virginia,South,Recreation,Urban,15,14,81,60,7.8,77720,3.3,79,33,5.1
Kanawha,2014-01-01,West Virginia,South,Federal/State Government,Urban,23,10,71,83,9.7,58597,4.3,84,51,6.4
Lewis,2014-01-01,West Virginia,South,Mining,Rural,28,,72,156,10.7,46589,5.6,80,57,6
Lincoln,2014-01-01,West Virginia,South,Mining,Urban,31,11,75,141,10.6,44157,4.6,86,65,9.9
Logan,2014-01-01,West Virginia,South,Mining,Rural,28,10,79,193,11.5,47432,5.9,79,63,9.1
McDowell,2014-01-01,West Virginia,South,Mining,Rural,49,10,74,144,12.1,33084,5.5,86,87,9.7
Marion,2014-01-01,West Virginia,South,Mining,Rural,25,9,79,98,9.2,54785,3.4,80,37,6.3
Marshall,2014-01-01,West Virginia,South,Maufacturing,Urban,24,13,86,121,8.6,52529,4.3,79,39,8.3
Mason,2014-01-01,West Virginia,South,Nonspecialized,Rural,28,10,82,121,11,45272,3.8,85,49,11
Mercer,2014-01-01,West Virginia,South,Nonspecialized,Rural,31,6,73,102,13.4,46230,5.1,86,62,7.4
Mineral,2014-01-01,West Virginia,South,Maufacturing,Urban,23,7,92,98,9.2,50373,3.5,85,38,7.4
Mingo,2014-01-01,West Virginia,South,Mining,Rural,31,9,74,243,12.2,46144,6.3,81,68,9.9
Monongalia,2014-01-01,West Virginia,South,Federal/State Government,Urban,17,13,77,87,7.7,69949,4.2,79,14,4.9
Monroe,2014-01-01,West Virginia,South,Federal/State Government,Rural,24,11,78,93,7.4,44827,4.1,89,37,6.4
Morgan,2014-01-01,West Virginia,South,Recreation,Rural,22,11,86,81,8.4,52308,3.8,86,35,7.3
Nicholas,2014-01-01,West Virginia,South,Mining,Rural,26,9,75,89,10.7,48798,4.5,84,52,9.1
Ohio,2014-01-01,West Virginia,South,Nonspecialized,Urban,24,12,81,58,9.1,58689,3.4,81,36,6.9
Pendleton,2014-01-01,West Virginia,South,Farming,Rural,23,,83,89,9.4,49712,2.5,82,31,6.2
Pleasants,2014-01-01,West Virginia,South,Nonspecialized,Rural,22,,88,113,7.7,56060,3.1,84,36,8.4
Pocahontas,2014-01-01,West Virginia,South,Recreation,Rural,30,21,88,83,10.3,46831,3.9,83,40,10.8
Preston,2014-01-01,West Virginia,South,Federal/State Government,Urban,23,9,79,110,9.4,52820,3.9,87,43,6.4
Putnam,2014-01-01,West Virginia,South,Nonspecialized,Urban,14,9,82,90,8.4,67594,3.6,84,31,5.8
Raleigh,2014-01-01,West Virginia,South,Mining,Urban,26,6,79,131,10.3,50882,4.9,83,56,6.9
Randolph,2014-01-01,West Virginia,South,Nonspecialized,Rural,28,8,78,124,9,49765,4.6,86,53,8.6
Ritchie,2014-01-01,West Virginia,South,Maufacturing,Rural,28,,83,92,7.9,49475,3.3,88,39,7.1
Roane,2014-01-01,West Virginia,South,Mining,Rural,31,13,78,92,6.8,41061,3.6,87,44,10.9
Summers,2014-01-01,West Virginia,South,Nonspecialized,Rural,35,11,73,100,10.4,46586,4,81,46,9
Taylor,2014-01-01,West Virginia,South,Nonspecialized,Rural,26,9,73,89,8.2,49903,4.1,83,44,7
Tucker,2014-01-01,West Virginia,South,Federal/State Government,Rural,25,,83,62,7.1,51273,4.2,88,39,9.4
Tyler,2014-01-01,West Virginia,South,Maufacturing,Rural,24,17,98,114,8.4,50102,3,84,50,8.8
Upshur,2014-01-01,West Virginia,South,Mining,Rural,27,,70,84,7.3,48400,3.2,74,34,7.1
Wayne,2014-01-01,West Virginia,South,Federal/State Government,Urban,28,11,75,108,12.9,47826,6.1,84,42,7.8
Webster,2014-01-01,West Virginia,South,Mining,Rural,40,,73,114,9.6,34542,3.7,79,47,12.4
Wetzel,2014-01-01,West Virginia,South,Nonspecialized,Rural,26,,86,111,8.6,51394,3.7,79,52,10.4
Wirt,2014-01-01,West Virginia,South,Nonspecialized,Urban,29,,93,115,7.6,43125,2.5,85,41,10.5
Wood,2014-01-01,West Virginia,South,Nonspecialized,Urban,26,10,81,110,9.6,53879,5.1,86,48,7.3
Wyoming,2014-01-01,West Virginia,South,Mining,Rural,31,6,82,143,11.8,45939,7.7,81,61,9
Adams,2014-01-01,Wisconsin,Midwest,Recreation,Rural,27,25,93,64,7.9,52667,3.3,89,48,9.9
Ashland,2014-01-01,Wisconsin,Midwest,Recreation,Rural,26,19,91,57,5.3,48957,3.9,87,33,8.7
Barron,2014-01-01,Wisconsin,Midwest,Maufacturing,Rural,21,23,89,62,5.9,55249,2.8,89,29,7.6
Bayfield,2014-01-01,Wisconsin,Midwest,Recreation,Rural,23,23,91,48,5,55446,3.4,86,21,10.3
Brown,2014-01-01,Wisconsin,Midwest,Nonspecialized,Urban,16,25,86,40,6.5,67405,3.2,88,31,6.3
Buffalo,2014-01-01,Wisconsin,Midwest,Nonspecialized,Rural,15,28,90,65,5.7,58593,2.7,93,20,5.7
Burnett,2014-01-01,Wisconsin,Midwest,Recreation,Rural,25,22,57,70,7,48600,2.4,87,33,8
Calumet,2014-01-01,Wisconsin,Midwest,Maufacturing,Urban,8,36,93,45,5.7,76267,2.5,88,13,5.4
Chippewa,2014-01-01,Wisconsin,Midwest,Maufacturing,Urban,17,21,86,69,6.1,63263,2.7,91,26,6.5
Clark,2014-01-01,Wisconsin,Midwest,Maufacturing,Rural,27,27,91,73,5,53288,2.5,88,23,7.1
Columbia,2014-01-01,Wisconsin,Midwest,Maufacturing,Urban,13,31,89,62,6.4,71718,2.5,91,23,6.7
Crawford,2014-01-01,Wisconsin,Midwest,Nonspecialized,Rural,22,22,95,67,6.4,57750,2.6,88,26,7.6
Dane,2014-01-01,Wisconsin,Midwest,Federal/State Government,Urban,14,23,85,47,6.3,84175,3,92,18,4.7
Dodge,2014-01-01,Wisconsin,Midwest,Maufacturing,Rural,13,27,91,56,6.2,65272,3.5,90,23,7.3
Door,2014-01-01,Wisconsin,Midwest,Recreation,Rural,17,26,95,42,5.6,62788,2.6,92,18,9.3
Douglas,2014-01-01,Wisconsin,Midwest,Recreation,Urban,22,28,88,63,6,58386,2.9,88,30,6.4
Dunn,2014-01-01,Wisconsin,Midwest,Federal/State Government,Rural,18,24,91,51,5.9,62297,1.9,93,14,5.9
Eau Claire,2014-01-01,Wisconsin,Midwest,Nonspecialized,Urban,18,24,87,58,6,68458,2,93,17,5.9
Florence,2014-01-01,Wisconsin,Midwest,Recreation,Rural,21,25,,,,54943,2.4,90,17,7.3
Fond du Lac,2014-01-01,Wisconsin,Midwest,Maufacturing,Urban,13,22,92,48,6.9,66192,2.8,92,25,6.6
Forest,2014-01-01,Wisconsin,Midwest,Recreation,Rural,24,21,77,56,8.2,51479,2.4,94,43,9.5
Grant,2014-01-01,Wisconsin,Midwest,Federal/State Government,Rural,19,26,96,55,5.7,60080,2.3,92,16,5.8
Green,2014-01-01,Wisconsin,Midwest,Nonspecialized,Urban,12,25,88,49,6.7,67212,2.2,94,27,6.4
Green Lake,2014-01-01,Wisconsin,Midwest,Recreation,Rural,18,21,88,53,5.1,60398,3.8,93,26,7.6
Iowa,2014-01-01,Wisconsin,Midwest,Nonspecialized,Urban,14,26,93,45,4.6,68323,2.9,86,22,6.2
Iron,2014-01-01,Wisconsin,Midwest,Maufacturing,Rural,21,30,94,52,,50872,2.4,87,15,11.6
Jackson,2014-01-01,Wisconsin,Midwest,Nonspecialized,Rural,21,31,94,63,6.7,52679,6.3,88,35,7.7
Jefferson,2014-01-01,Wisconsin,Midwest,Maufacturing,Rural,13,23,93,50,5.8,67602,3.2,90,18,7.3
Juneau,2014-01-01,Wisconsin,Midwest,Maufacturing,Rural,22,27,84,67,6.6,54831,,88,37,8.7
Kenosha,2014-01-01,Wisconsin,Midwest,Nonspecialized,Urban,19,23,81,73,7.8,68025,3.8,87,35,8.2
Kewaunee,2014-01-01,Wisconsin,Midwest,Maufacturing,Urban,12,26,94,28,5.7,67416,2.8,90,16,6.1
La Crosse,2014-01-01,Wisconsin,Midwest,Nonspecialized,Urban,14,26,92,39,6,70469,2.6,92,17,5.3
Lafayette,2014-01-01,Wisconsin,Midwest,Farming,Rural,22,18,94,57,5.6,61620,2.2,89,18,5.6
Langlade,2014-01-01,Wisconsin,Midwest,Recreation,Rural,26,24,92,59,6.9,50734,3,91,36,8.7
Lincoln,2014-01-01,Wisconsin,Midwest,Maufacturing,Rural,16,23,92,67,6.6,61526,3.1,93,29,9.5
Manitowoc,2014-01-01,Wisconsin,Midwest,Maufacturing,Rural,15,27,88,47,6.9,64182,2.9,90,26,7.6
Marathon,2014-01-01,Wisconsin,Midwest,Maufacturing,Urban,16,24,91,65,5.9,65624,2.3,92,25,7.2
Marinette,2014-01-01,Wisconsin,Midwest,Maufacturing,Rural,20,21,90,63,6.5,54144,3.5,90,26,8
Marquette,2014-01-01,Wisconsin,Midwest,Maufacturing,Rural,22,26,86,73,6.2,56581,3.5,92,32,8.7
Menominee,2014-01-01,Wisconsin,Midwest,Nonspecialized,Rural,47,20,93,,7.6,40469,2.2,92,114,15.3
Milwaukee,2014-01-01,Wisconsin,Midwest,Nonspecialized,Urban,32,21,74,61,9.3,55213,3.6,88,54,8.4
Monroe,2014-01-01,Wisconsin,Midwest,Federal/State Government,Rural,23,26,90,59,5.9,60555,3.3,92,35,6.7
Oconto,2014-01-01,Wisconsin,Midwest,Recreation,Urban,14,28,89,53,6.1,63072,3.8,88,24,7.9
Oneida,2014-01-01,Wisconsin,Midwest,Recreation,Rural,18,22,87,51,7.4,59132,2.8,92,26,8.9
Outagamie,2014-01-01,Wisconsin,Midwest,Nonspecialized,Urban,11,28,92,40,7.1,72376,2.3,92,21,6.5
Ozaukee,2014-01-01,Wisconsin,Midwest,Maufacturing,Urban,6,26,95,45,5.5,94306,2.6,93,7,5.7
Pepin,2014-01-01,Wisconsin,Midwest,Nonspecialized,Rural,21,20,96,87,5,60823,,85,15,5.6
Pierce,2014-01-01,Wisconsin,Midwest,Federal/State Government,Urban,10,31,95,61,5.9,77661,2.1,94,9,5.3
Polk,2014-01-01,Wisconsin,Midwest,Maufacturing,Rural,16,26,95,70,5.9,60414,2.6,88,26,8
Portage,2014-01-01,Wisconsin,Midwest,Nonspecialized,Rural,14,25,88,54,5.7,65735,2.4,91,16,6.6
Price,2014-01-01,Wisconsin,Midwest,Maufacturing,Rural,20,22,91,68,5.3,55827,2.1,92,15,6.9
Racine,2014-01-01,Wisconsin,Midwest,Maufacturing,Urban,21,24,76,62,8.1,67271,3.7,88,42,8.5
Richland,2014-01-01,Wisconsin,Midwest,Maufacturing,Rural,22,27,96,79,5.3,56470,,86,22,6
Rock,2014-01-01,Wisconsin,Midwest,Nonspecialized,Urban,23,26,87,56,7.1,60422,3.5,90,38,8.4
Rusk,2014-01-01,Wisconsin,Midwest,Maufacturing,Rural,26,17,86,48,7.4,46339,1.7,92,31,9.1
St. Croix,2014-01-01,Wisconsin,Midwest,Nonspecialized,Urban,8,30,95,66,5.8,82525,2.2,90,14,5.3
Sauk,2014-01-01,Wisconsin,Midwest,Recreation,Rural,15,23,90,63,5.7,64602,2.7,86,32,6.9
Sawyer,2014-01-01,Wisconsin,Midwest,Recreation,Rural,27,25,82,56,6.2,47661,2.8,86,48,9.8
Shawano,2014-01-01,Wisconsin,Midwest,Nonspecialized,Rural,18,27,91,58,6.9,55395,3.1,92,27,7.7
