Name,Control,Region,Locale,Admission Rate,SAT Average,% Female,Median Earnings of Graduate,Undergraduate Population,Completion Rate,Average Cost of Attendance,Out-of-State Tuition,Percentage of Undergraduates Aged 25 and Above,% Undergraduate Students Receiving Loans,Year
Saginaw Valley State University,Public,Great Lakes,,0.7865,990,0.6036355052,37600,8686,0.1011,17876,19776,0.148,0.6985,2013-01-01
Schoolcraft College,Public,Great Lakes,,,,0.6231109953,31200,9535,,8550,6290,0.3604,0.1722,2013-01-01
Siena Heights University,Private,Great Lakes,,0.6765,990,0.6002132196,38900,2325,0.2126,31980,21890,0.4971,0.6817,2013-01-01
St Clair County Community College,Public,Great Lakes,,,,0.5815755489,29100,3588,,10118,8893,0.2847,0.243,2013-01-01
Southwestern Michigan College,Public,Great Lakes,,,,0.5907859079,26400,2419,,13118,6068,0.2769,0.3695,2013-01-01
Spring Arbor University,Private,Great Lakes,,0.6505,1069,0.7136231884,38900,2860,0.3038,32709,23400,0.4562,0.74,2013-01-01
Michigan Career and Technical Institute,Public,Great Lakes,,,,0.1902985075,20800,200,,20625,25896,0.09,0,2013-01-01
Finlandia University,Private,Great Lakes,,0.5883,930,0.5621301775,30800,498,0.3077,29377,20480,0.2076,0.8301,2013-01-01
Washtenaw Community College,Public,Great Lakes,,,,0.5276121745,28100,10172,,10498,4800,0.3989,0.2862,2013-01-01
Wayne County Community College District,Public,Great Lakes,,,,0.6121275121,24000,13713,,10234,3700,0.4515,0.2985,2013-01-01
Wayne State University,Public,Great Lakes,,0.7624,1050,0.5898647906,39900,17789,0.1125,20199,23714,0.2745,0.5944,2013-01-01
West Shore Community College,Public,Great Lakes,,,,0.5745501285,26800,1167,,7734,5178,0.3436,0.2129,2013-01-01
Western Michigan University,Public,Great Lakes,,0.8285,1030,0.5169155169,43700,18755,0.2424,22483,24109,0.1348,0.68,2013-01-01
Academy College,Private,Plains,,,,0.2121212121,36600,140,1,26704,18680,0.6779,0.7763,2013-01-01
Alexandria Technical & Community College,Public,Plains,,,,0.4372599232,37600,1782,,17952,5385,0.2576,0.4098,2013-01-01
Anoka Technical College,Public,Plains,,,,0.5416666667,39800,1992,,19562,5590,0.5211,0.6039,2013-01-01
Anoka-Ramsey Community College,Public,Plains,,,,0.6031112045,36900,6585,,16272,5005,0.307,0.3912,2013-01-01
Augsburg University,Private,Plains,,0.6086,1053,0.5570422535,47300,2661,0.4694,42531,33209,0.3108,0.7115,2013-01-01
Riverland Community College,Public,Plains,,,,0.5194174757,32400,2509,,13823,5522,0.4371,0.4054,2013-01-01
Bemidji State University,Public,Plains,,0.6678,990,0.5795981453,39600,4397,0.2608,18166,8124,0.2536,0.594,2013-01-01
Bethany Lutheran College,Private,Plains,,0.7458,1070,0.4793650794,34600,552,0.3807,32531,24080,0.0311,0.7575,2013-01-01
Bethel University,Private,Plains,,0.9485,1144,0.6516983305,45100,3178,0.6265,42692,31760,0.1991,0.6746,2013-01-01
Central Lakes College-Brainerd,Public,Plains,,,,0.4927184466,31800,2601,,14585,5393,0.2855,0.3713,2013-01-01
Carleton College,Private,Plains,,0.2095,1406,0.5117270789,52600,2023,0.8959,58275,46167,0.0029,0.4749,2013-01-01
Concordia College at Moorhead,Private,Plains,,0.7998,1144,0.5934664247,42400,2464,0.6171,39803,32814,0.0122,0.68,2013-01-01
Concordia University-Saint Paul,Private,Plains,,0.5239,991,0.5950095969,50700,1927,0.3035,40267,19700,0.4048,0.6249,2013-01-01
Dakota County Technical College,Public,Plains,,,,0.4272952854,35900,2641,,17876,5693,0.5192,0.4214,2013-01-01
Martin Luther College,Private,Plains,,0.9617,1125,0.4393939394,36900,729,0.5198,20740,12300,0.0957,0.6873,2013-01-01
Lake Superior College,Public,Plains,,,,0.5222295952,34700,3990,,17179,9504,0.378,0.4603,2013-01-01
Duluth Business University,Private,Plains,,,,0.8756218905,22800,201,,29911,15785,0.6816,0.8704,2013-01-01
Minnesota State Community and Technical College,Public,Plains,,,,0.5544503953,34300,4960,,15188,5338,0.3198,0.5268,2013-01-01
Globe University-Woodbury,Private,Plains,,,,0.7514854946,28500,845,0.125,28684,14040,0.6292,0.7206,2013-01-01
Minnesota West Community and Technical College,Public,Plains,,,,0.596377749,33600,2165,,14665,10807,0.4188,0.3992,2013-01-01
Gustavus Adolphus College,Private,Plains,,0.6322,1224,0.5497131931,48400,2439,0.8138,48422,39120,0.0029,0.6884,2013-01-01
Hamline University,Private,Plains,,0.6557,1106,0.6244509517,47600,2108,0.5956,43433,35108,0.0615,0.7432,2013-01-01
Hennepin Technical College,Public,Plains,,,,0.4273858921,33700,5750,,18165,4998,0.6084,0.4615,2013-01-01
Hibbing Community College,Public,Plains,,,,0.5046904315,34500,1186,,13853,6475,0.359,0.6039,2013-01-01
Inver Hills Community College,Public,Plains,,,,0.6106300388,39400,4915,,15152,5272,0.3957,0.3907,2013-01-01
Itasca Community College,Public,Plains,,,,0.4460732984,33800,1076,,15255,6489,0.2909,0.5048,2013-01-01
The Art Institutes International-Minnesota,Private,Plains,,,,0.5534246575,34900,1161,0.2362,31098,17416,0.3221,0.8573,2013-01-01
Macalester College,Private,Plains,,0.3416,1350,0.6054519369,45300,2029,0.8474,55393,45388,0.001,0.4884,2013-01-01
South Central College,Public,Plains,,,,0.5519301471,34500,2966,,15134,5370,0.4117,0.4831,2013-01-01
Minnesota State University-Mankato,Public,Plains,,0.6555,1030,0.5410620053,43100,12542,0.2055,17578,15036,0.1184,0.59,2013-01-01
Argosy University-Twin Cities,Private,Plains,,,,0.586328381,37800,1113,0,23047,13663,0.5321,0.7592,2013-01-01
Mesabi Range College,Public,Plains,,,,0.4050179211,31400,986,,11634,6248,0.2933,0.4648,2013-01-01
Metropolitan State University,Public,Plains,,1,,0.5692081495,46000,7322,0.0968,18170,13227,0.7164,0.5207,2013-01-01
University of Minnesota-Twin Cities,Public,Plains,,0.4442,1270,0.5391066233,49800,30271,0.5447,24278,19805,0.1111,0.4516,2013-01-01
University of Minnesota-Crookston,Public,Plains,,0.6916,1004,0.516357206,41300,1813,0.3364,21549,11448,0.2747,0.3976,2013-01-01
Minneapolis Business College,Private,Plains,,,,0.7190721649,34800,273,,19334,14690,0,0.9506,2013-01-01
Minneapolis College of Art and Design,Private,Plains,,0.5895,1073,0.6373390558,34500,683,0.4726,41935,32750,0.1526,0.8781,2013-01-01
Minneapolis Community and Technical College,Public,Plains,,,,0.5044603033,31300,8938,,18789,5350,0.5382,0.5258,2013-01-01
Herzing University-Minneapolis,Private,Plains,,0.7126,,0.807559318,40300,262,,22451,11150,0.5344,0.8497,2013-01-01
Crossroads College,Private,Plains,,0.2143,,0.4545454545,31500,97,0.1667,25235,15280,0.3069,0.758,2013-01-01
University of Minnesota-Duluth,Public,Plains,,0.7822,1109,0.4832442933,45300,9239,0.2955,22796,16480,0.0466,0.5882,2013-01-01
University of Minnesota-Morris,Public,Plains,,0.5764,1168,0.555952381,39500,1846,0.5028,22853,12584,0.0437,0.5037,2013-01-01
Minnesota School of Business-Richfield,Private,Plains,,,,0.700166113,32700,896,0.125,30125,14040,0.7117,0.7315,2013-01-01
Minnesota State University Moorhead,Public,Plains,,0.8911,1049,0.5978225008,38000,5912,0.2177,18028,14714,0.1921,0.6301,2013-01-01
North Hennepin Community College,Public,Plains,,,,0.5753779698,37800,6670,,19425,5942,0.4693,0.4598,2013-01-01
National American University-Roseville,Private,Plains,,,,0.6958005639,34800,369,0,22631,12891,0.8032,0.8696,2013-01-01
Sanford-Brown College-Mendota Heights,Private,Plains,,,,0.6817102138,31500,237,0.4483,23700,16075,0.5612,0.8478,2013-01-01
Normandale Community College,Public,Plains,,,,0.5492503321,38100,7751,,17455,5694,0.3249,0.3743,2013-01-01
North Central University,Private,Plains,,0.9521,1044,0.5630498534,30800,1106,0.1726,28800,19996,0.0623,0.7807,2013-01-01
Northland Community and Technical College,Public,Plains,,,,0.5495537811,37100,2862,,15429,5517,0.3708,0.488,2013-01-01
University of Northwestern-St Paul,Private,Plains,,0.6915,1126,0.5846808511,36600,2038,0.5087,37803,28020,0.0832,0.5087,2013-01-01
Northwestern Health Sciences University,Private,Plains,,,,0.5592592593,45500,113,,23983,11880,0.6726,0.6903,2013-01-01
Oak Hills Christian College,Private,Plains,,0.5873,930,0.4862385321,23900,126,0.25,25300,15300,0.1748,0.6713,2013-01-01
Pine Technical & Community College,Public,Plains,,,,0.648255814,28900,751,,15646,7741,0.4727,0.5247,2013-01-01
Rainy River Community College,Public,Plains,,,,0.5668202765,27100,204,,13190,6505,0.1238,0.2913,2013-01-01
Rochester Community and Technical College,Public,Plains,,,,0.5775386313,35800,5291,,18591,5608,0.4131,0.4476,2013-01-01
College of Saint Benedict,Private,Plains,,0.7554,1157,,50000,2051,0.7454,47734,37926,0.0102,0.6478,2013-01-01
St Cloud Technical and Community College,Public,Plains,,,,0.5166619994,37200,4422,,12704,5301,0.3318,0.5407,2013-01-01
Saint Cloud State University,Public,Plains,,0.8691,1010,0.5443701428,42900,11535,0.1912,17892,15156,0.1448,0.5095,2013-01-01
Saint Johns University,Private,Plains,,0.7516,1155,,59100,1871,0.7054,46397,37162,0.0059,0.6095,2013-01-01
Saint Mary's University of Minnesota,Private,Plains,,0.7485,1068,0.5588822355,44200,1897,0.4257,38470,29315,0.2966,0.6297,2013-01-01
St Olaf College,Private,Plains,,0.5919,1290,0.5793991416,47300,3079,0.8309,50550,40700,0.0038,0.5255,2013-01-01
Crown College,Private,Plains,,0.55,983,0.5167630058,32800,1095,0.3582,34574,22430,0.3494,0.7022,2013-01-01
The College of Saint Scholastica,Private,Plains,,0.7265,1085,0.7314121037,51000,2858,0.5914,40685,31612,0.2965,0.689,2013-01-01
University of St Thomas,Private,Plains,,0.8617,1165,0.4817237399,55600,6246,0.626,48421,35308,0.0481,0.5738,2013-01-01
St Catherine University,Private,Plains,,0.6089,1051,0.9538934426,46700,3479,0.3764,43356,34744,0.383,0.7682,2013-01-01
Rasmussen College-Minnesota,Private,Plains,,0.8327,,0.759256422,31000,4742,0.3684,25387,10764,0.6902,0.7531,2013-01-01
Saint Paul College,Public,Plains,,,,0.526504788,31700,6083,,18578,5198,0.5319,0.5122,2013-01-01
Southwest Minnesota State University,Public,Plains,,0.6546,1010,0.6007142857,37100,2426,0.2171,19109,8074,0.0759,0.2639,2013-01-01
Vermilion Community College,Public,Plains,,,,0.26,32300,515,,14819,6505,0.1224,0.5207,2013-01-01
Dunwoody College of Technology,Private,Plains,,0.7243,,0.1163287086,49400,1065,,31006,18817,0.4967,0.8479,2013-01-01
Ridgewater College,Public,Plains,,,,0.5084050841,32600,3329,,13045,5390,0.338,0.5049,2013-01-01
Minnesota State College Southeast,Public,Plains,,,,0.5365036839,32300,1875,,19177,6064,0.4264,0.6154,2013-01-01
Winona State University,Public,Plains,,0.6075,1070,0.6385983264,42700,8079,0.298,20449,14230,0.1162,0.6431,2013-01-01
Century College,Public,Plains,,,,0.54083306,36400,9484,,13047,5360,0.424,0.4821,2013-01-01
Alcorn State University,Public,Southeast,,0.8291,851,0.6155063291,30100,3157,0.184,20330,6108,0.254,0.8872,2013-01-01
Belhaven University,Private,Southeast,,0.4842,1033,0.6343852013,35700,2487,0.249,33375,19970,0.5435,0.7219,2013-01-01
Blue Mountain College,Private,Southeast,,0.5573,1007,0.6037151703,30100,497,0.3684,16926,9470,0.1692,0.5697,2013-01-01
Coahoma Community College,Public,Southeast,,,,0.5869957857,19600,1959,,6136,3240,0.302,0,2013-01-01
Antonelli College-Jackson,Private,Southeast,,,,0.8274363749,21100,485,,26145,15980,0.668,0.7648,2013-01-01
Copiah-Lincoln Community College,Public,Southeast,,,,0.6114678899,25900,2859,,8947,4350,0.2322,0.227,2013-01-01
Delta State University,Public,Southeast,,0.8941,950,0.6219974716,33600,2638,0.1635,17749,6562,0.1967,0.5628,2013-01-01
East Central Community College,Public,Southeast,,,,0.5561056106,27900,2323,,10087,4270,0.2379,0.3213,2013-01-01
East Mississippi Community College,Public,Southeast,,,,0.5582655827,24500,4364,,9564,4800,0.278,0.4844,2013-01-01
Hinds Community College,Public,Southeast,,,,0.6108208143,25900,10946,,8395,4860,0.331,0.4273,2013-01-01
Holmes Community College,Public,Southeast,,,,0.6701795472,27700,5668,,9907,4868,0.336,0.2453,2013-01-01
Itawamba Community College,Public,Southeast,,,,0.5708994709,26400,5477,,10991,4420,0.2686,0.3153,2013-01-01
Jackson State University,Public,Southeast,,0.6464,910,0.6380952381,29100,6880,0.1665,18724,15552,0.3656,0.7633,2013-01-01
Jones County Junior College,Public,Southeast,,,,0.5750766088,27200,4443,,9855,4722,0.1632,0.1554,2013-01-01
Meridian Community College,Public,Southeast,,,,0.6805441055,25400,3601,,11036,3690,0.369,0.1717,2013-01-01
Millsaps College,Private,Southeast,,0.4745,1159,0.4695945946,46300,734,0.5912,44435,32520,0.0296,0.5362,2013-01-01
Mississippi Delta Community College,Public,Southeast,,,,0.6074766355,23100,2567,,8165,4058,0.2031,0,2013-01-01
University of Mississippi,Public,Southeast,,0.8054,1100,0.598848638,41100,16432,0.3636,21526,17728,0.0931,0.4625,2013-01-01
Mississippi University for Women,Public,Southeast,,0.4349,995,0.8450255102,33100,2252,0.217,15935,15360,0.3541,0.6237,2013-01-01
Mississippi Valley State University,Public,Southeast,,0.2272,825,0.5725631769,22700,1856,0.1052,17758,5916,0.2175,0.7721,2013-01-01
Mississippi College,Private,Southeast,,0.673,1098,0.5830597505,38400,2895,0.3457,25976,14868,0.1718,0.5983,2013-01-01
Mississippi Gulf Coast Community College,Public,Southeast,,,,0.6014046152,27100,10074,,12021,4558,0.3567,0.2394,2013-01-01
Mississippi State University,Public,Southeast,,0.6482,1106,0.5207744488,40300,16399,0.309,20796,16960,0.107,0.5046,2013-01-01
Northeast Mississippi Community College,Public,Southeast,,,,0.5620232838,28000,3105,,11011,4551,0.184,0.2612,2013-01-01
Northwest Mississippi Community College,Public,Southeast,,,,0.5977342205,27100,7530,,8243,4450,0.2829,0.2423,2013-01-01
Pearl River Community College,Public,Southeast,,0.8566,970,0.5885137267,26800,4581,,5285,5028,0.2785,0.2269,2013-01-01
Rust College,Private,Southeast,,0.1386,666,0.5873015873,22900,922,0.1218,14466,8900,0.1302,0.8983,2013-01-01
Southeastern Baptist College,Private,Southeast,,,,0.4324324324,20800,37,0.125,6753,4790,0.7105,0,2013-01-01
Southwest Mississippi Community College,Public,Southeast,,,,0.5920873124,24400,1933,,10568,5100,0.2464,0,2013-01-01
University of Southern Mississippi,Public,Southeast,,0.6631,1082,0.6536565325,35800,12371,0.2071,18781,15024,0.2216,0.6934,2013-01-01
Tougaloo College,Private,Southeast,,0.3551,864,0.6578483245,25900,877,0.265,20179,10227,0.0513,0.8179,2013-01-01
William Carey University,Private,Southeast,,0.4877,1105,0.6543287327,34700,2166,0.4601,23962,10800,0.4032,0.7997,2013-01-01
Anthem College-Maryland Heights,Private,Plains,,,,0.8442669709,22100,277,,25224,14057,0.4874,0.686,2013-01-01
Avila University,Private,Plains,,0.6108,1028,0.6831578947,42500,1336,0.2632,34898,24950,0.3298,0.7291,2013-01-01
ITT Technical Institute-Earth City,Private,Plains,,0.7099,,0.3025123289,38800,602,0.04,26033,18048,0.701,0.8103,2013-01-01
Baptist Bible College,Private,Plains,,,,0.4597701149,28200,305,0.2,16646,8090,0.1934,0.5794,2013-01-01
Cox College,Private,Plains,,0.8975,863,0.8564102564,40400,832,0.6129,24355,10376,0.6466,0.7912,2013-01-01
Calvary University,Private,Plains,,0.8696,1033,0.5,32600,248,0.3571,18781,10816,0.3051,0.428,2013-01-01
Central Christian College of the Bible,Private,Plains,,0.5838,,0.4705882353,29300,297,0.2245,26620,13800,0.2748,0.7327,2013-01-01
Central Methodist University-College of Liberal Arts and Sciences,Private,Plains,,0.6506,1006,0.7058287796,34700,1093,0.2575,32000,21320,0.0578,0.7442,2013-01-01
University of Central Missouri,Public,Plains,,0.8083,990,0.5685592893,36700,9160,0.3001,18355,13659,0.1635,0.6299,2013-01-01
Cleveland University-Kansas City,Private,Plains,,,,0.3793103448,38900,66,0,38183,9120,0.6667,0.9114,2013-01-01
Columbia College,Private,Plains,,,,0.6182157,37400,15498,0.2581,17611,7115,0.7636,0.5843,2013-01-01
Conception Seminary College,Private,Plains,,0.9524,1165,,,90,0.6111,30766,18436,0.1616,0.3,2013-01-01
Cottey College,Private,Plains,,0.7063,1021,,33700,277,,26065,18800,0.0289,0.6747,2013-01-01
Crowder College,Public,Plains,,,,0.6273599505,25900,4336,,9341,2856,0.3042,0.1992,2013-01-01
Culver-Stockton College,Private,Plains,,0.5926,972,0.4633730835,36500,809,0.3762,33741,23300,0.0651,0.7906,2013-01-01
Drury University,Private,Plains,,0.8095,1146,0.6355932203,31500,4001,0.3212,32573,22295,0.4479,0.5407,2013-01-01
East Central College,Public,Plains,,,,0.6192579505,28100,3113,,11225,4176,0.3172,0.2342,2013-01-01
Pinnacle Career Institute-South Kansas City,Private,Plains,,,,0.6092530658,28200,555,,24933,13848,0.6757,0.5254,2013-01-01
Evangel University,Private,Plains,,0.6425,1046,0.5420560748,34400,2071,0.3488,30988,20040,0.1305,0.9271,2013-01-01
Fontbonne University,Private,Plains,,0.6524,1070,0.7422222222,40800,1242,0.0259,30833,22684,0.3712,0.6967,2013-01-01
Ozarks Technical Community College,Public,Plains,,,,0.5609977782,28400,13087,,11118,4560,0.3873,0.6914,2013-01-01
Hannibal-LaGrange University,Private,Plains,,0.6814,1029,0.6350574713,33700,921,0.4628,27560,18770,0.1895,0.5661,2013-01-01
Harris-Stowe State University,Public,Plains,,,,0.6353754941,26800,1266,0.0213,15610,9853,0.3529,0.814,2013-01-01
Hickey College,Private,Plains,,,,0.7860962567,30000,372,,21015,13850,0.1989,0.9264,2013-01-01
Jefferson College,Public,Plains,,,,0.5646824077,30600,4974,,10234,4560,0.3864,0.2665,2013-01-01
Kansas City Art Institute,Private,Plains,,0.643,1073,0.6992287918,30200,735,0.5658,45824,33712,0.0663,0.6825,2013-01-01
Lincoln University,Public,Plains,,,,0.5448275862,28900,2268,0.0633,14906,13228,0.204,0.7856,2013-01-01
Lindenwood University,Private,Plains,,0.6629,1045,0.5739859506,39200,7928,0.2452,30193,15150,0.2752,0.6477,2013-01-01
State Technical College of Missouri,Public,Plains,,,,0.1665098777,39900,1241,,15178,10560,0.1275,0.5932,2013-01-01
Metropolitan Community College-Kansas City,Public,Plains,,,,0.5645325203,29900,16645,,12504,6810,0.3823,0.1264,2013-01-01
Lutheran School of Nursing,Private,Plains,,1,,0.8633879781,41400,209,,,9914,0.7273,0.8483,2013-01-01
Maryville University of Saint Louis,Private,Plains,,0.7611,1142,0.7270135424,46200,2746,0.5068,37968,25002,0.3503,0.6802,2013-01-01
Metro Business College-Cape Girardeau,Private,Plains,,,,0.853968254,19300,137,,16348,10325,0.4015,0.8872,2013-01-01
Midwestern Baptist Theological Seminary,Private,Plains,,0.6774,1021,0.3333333333,,255,0,20142,6320,0.5594,0.4378,2013-01-01
Mineral Area College,Public,Plains,,,,0.5978312117,26400,3744,,11179,4710,0.2305,0.2595,2013-01-01
Westwood College-O'Hare Airport,Private,Great Lakes,,,,0.5901639344,32300,298,0.3143,29479,15159,0.6544,0.7358,2013-01-01
Missouri Baptist University,Private,Plains,,0.6095,1001,0.5768917819,34600,1710,0.2655,30542,21790,0.1481,0.3499,2013-01-01
Missouri College,Private,Plains,,,,0.8766233766,21500,547,0.3636,22730,16391,0.4702,0.8964,2013-01-01
Missouri Southern State University,Public,Plains,,0.9728,990,0.5542609854,32500,5132,0.1497,14143,10225,0.3249,0.6786,2013-01-01
Missouri Tech,Private,Plains,,1,,,32300,108,0,28830,14810,0.6852,0.735,2013-01-01
Missouri Valley College,Private,Plains,,0.2218,920,0.3976833977,33400,1411,0.1451,28754,18300,0.1353,0.6479,2013-01-01
Missouri Western State University,Public,Plains,,,,0.5873472322,33100,4902,0.1348,15242,12006,0.2347,0.5339,2013-01-01
University of Missouri-Columbia,Public,Plains,,0.7861,1165,0.5317689172,46100,26585,0.4707,22387,23764,0.0385,0.4864,2013-01-01
University of Missouri-Kansas City,Public,Plains,,0.33,1105,0.5944385027,43900,8309,0.2052,23437,22203,0.2499,0.4868,2013-01-01
Missouri University of Science and Technology,Public,Plains,,0.8215,1263,0.2301903497,67100,6064,0.2525,22102,24675,0.069,0.5401,2013-01-01
University of Missouri-St Louis,Public,Plains,,0.7419,1090,0.6235911387,40600,8928,0.2035,22474,24429,0.2776,0.4279,2013-01-01
Moberly Area Community College,Public,Plains,,,,0.6142819911,28500,4608,,12188,5580,0.2622,0.2768,2013-01-01
Truman State University,Public,Plains,,0.7219,1243,0.591276252,43700,5482,0.5378,19689,13240,0.0159,0.437,2013-01-01
Northwest Missouri State University,Public,Plains,,0.7241,1050,0.5794495413,37800,5274,0.2674,17005,11391,0.0451,0.5949,2013-01-01
Ozark Christian College,Private,Plains,,,,0.4857819905,28700,742,0.1386,18674,11040,0.0719,0.5712,2013-01-01
College of the Ozarks,Private,Plains,,0.1301,1050,0.5710014948,32800,1513,0.4965,26813,18330,0.0205,0,2013-01-01
Park University,Private,Plains,,0.9638,,0.5445698715,45300,9723,0.2738,21351,10600,0.6428,0.44,2013-01-01
Stevens-The Institute of Business & Arts,Private,Plains,,,,0.9008264463,24900,172,,21834,17640,0.5233,0.9415,2013-01-01
Ranken Technical College,Private,Plains,,,,0.0522540984,46200,2097,0.4375,23593,14457,0.434,0.9816,2013-01-01
Rockhurst University,Private,Plains,,0.7543,1164,0.625,47900,1682,0.6049,40582,31290,0.0518,0.5954,2013-01-01
Everest College-Springfield,Private,Plains,,,,0.6485421592,23600,303,0,25923,12798,0.6007,0.7166,2013-01-01
Saint Louis University,Private,Plains,,0.6443,1237,0.6064130776,54400,7961,0.6065,52413,36726,0.0955,0.348,2013-01-01
Saint Louis Christian College,Private,Plains,,0.9886,970,0.4580152672,24700,219,0.1739,28581,8215,0.4408,0.7439,2013-01-01
St. Louis College of Pharmacy,Private,Plains,,,1228,0.5882352941,120400,723,,39916,26078,0.0249,,2013-01-01
Saint Louis Community College,Public,Plains,,,,0.5936239222,27100,21446,,11846,5970,0.4821,0.1068,2013-01-01
Southwest Baptist University,Private,Plains,,0.9022,1062,0.6272845953,32900,2515,0.3679,28948,20040,0.2454,0.5813,2013-01-01
Missouri State University-West Plains,Public,Plains,,,,0.54375,26400,1648,,16448,7440,0.284,0.2464,2013-01-01
State Fair Community College,Public,Plains,,,,0.6386442487,29000,4374,,9929,5880,0.3398,0.4049,2013-01-01
Stephens College,Private,Plains,,0.6756,1047,,33400,646,0.2523,41309,27954,0.2241,0.8529,2013-01-01
Southeast Missouri State University,Public,Plains,,0.8546,1049,0.5727768456,36100,9382,0.2655,17093,12195,0.162,0.5127,2013-01-01
Missouri State University-Springfield,Public,Plains,,0.851,1090,0.5923831071,37400,15746,0.305,19117,13388,0.1412,0.5083,2013-01-01
Three Rivers College,Public,Plains,,,,0.6576271186,26000,3087,,12683,6048,0.3846,0.2591,2013-01-01
North Central Missouri College,Public,Plains,,,,0.6863966771,27800,1220,,12075,4980,0.2328,0.3186,2013-01-01
Washington University in St Louis,Private,Plains,,0.1555,1474,0.519412382,66300,6851,0.8823,62594,44841,0.0871,0.2207,2013-01-01
Webster University,Private,Plains,,0.5806,1107,0.5629032258,41100,3398,0.4638,37363,23760,0.3268,0.6536,2013-01-01
Wentworth Military Academy and College,Private,Plains,,,,0.5054054054,24300,399,,30945,19000,0.1081,0.2907,2013-01-01
Westminster College,Private,Plains,,0.719,1090,0.4259681093,41600,1022,0.5157,33354,21680,0.0273,0.7596,2013-01-01
William Jewell College,Private,Plains,,0.5778,1146,0.6066666667,44200,1044,0.4965,42688,31000,0.0795,0.6559,2013-01-01
William Woods University,Private,Plains,,0.7514,1047,0.7926605505,34700,1001,0.4463,33016,20650,0.1527,0.6207,2013-01-01
Blackfeet Community College,Private,Rocky Mountains,,,,0.5670103093,14900,448,,15055,2510,0.48,0,2013-01-01
Highlands College of Montana Tech,Public,Rocky Mountains,,,,0.4103194103,41100,628,,14096,8193,0.2716,0.5153,2013-01-01
Carroll College,Private,Rocky Mountains,,0.53,1112,0.5657439446,43500,1376,0.5427,38575,27914,0.0741,0.5598,2013-01-01
Dawson Community College,Public,Rocky Mountains,,,,0.5450819672,31100,266,,12338,9165,0.2984,0.4327,2013-01-01
Chief Dull Knife College,Public,Rocky Mountains,,,,0.49,17600,178,,9017,2260,0.4627,0,2013-01-01
Montana State University-Billings,Public,Rocky Mountains,,,,0.6299342105,33800,4234,0.1232,15753,17088,0.3662,0.5305,2013-01-01
Flathead Valley Community College,Public,Rocky Mountains,,,,0.5841750842,26700,1773,,12769,10960,0.4653,0.3094,2013-01-01
Aaniiih Nakoda College,Public,Rocky Mountains,,,,0.4867256637,20000,134,,12189,2410,0.4604,0,2013-01-01
Fort Peck Community College,Public,Rocky Mountains,,,,0.4388489209,15800,350,,8958,2250,0.5259,0,2013-01-01
Great Falls College Montana State University,Public,Rocky Mountains,,,,0.6612149533,30100,1626,,13562,9337,0.4901,0.594,2013-01-01
University of Providence,Private,Rocky Mountains,,0.7272,,0.626953125,32300,1032,0.1692,31310,20960,0.4283,0.5749,2013-01-01
Helena College University of Montana,Public,Rocky Mountains,,,,0.542991755,33300,1118,,14664,8357,0.4587,0.539,2013-01-01
Little Big Horn College,Public,Rocky Mountains,,,,0.5990566038,14300,309,,13463,2850,0.4529,0,2013-01-01
Miles Community College,Public,Rocky Mountains,,,,0.5636363636,35000,351,,10878,7680,0.2227,0.6757,2013-01-01
Montana Tech of the University of Montana,Public,Rocky Mountains,,0.8891,1115,0.4103194103,41100,1825,0.1985,16434,18606,0.3015,0.4962,2013-01-01
Montana State University,Public,Rocky Mountains,,0.8449,1115,0.4936967,40400,13055,0.2003,18486,20717,0.1675,0.4913,2013-01-01
The University of Montana,Public,Rocky Mountains,,0.9423,1090,0.5438562219,34700,11630,0.2389,17440,21719,0.2651,0.5602,2013-01-01
Montana State University-Northern,Public,Rocky Mountains,,1,925,0.4888888889,35100,1250,0.145,17290,17312,0.3048,0.6187,2013-01-01
Rocky Mountain College,Private,Rocky Mountains,,0.6683,1024,0.46875,37500,961,0.1934,32987,23718,0.1053,0.711,2013-01-01
Salish Kootenai College,Private,Rocky Mountains,,,,0.5631262525,26000,809,0.2791,13301,11463,0.5667,0.5806,2013-01-01
The University of Montana-Western,Public,Rocky Mountains,,,,0.5536649215,29600,1452,0.2667,14947,14860,0.2268,0.586,2013-01-01
Bellevue University,Private,Plains,,,,0.5795691452,52800,6134,0.2308,20250,6300,0.8125,0.4536,2013-01-01
Clarkson College,Private,Plains,,0.6056,1110,0.8780952381,48900,778,0,22322,12880,0.4744,0.7565,2013-01-01
Bryan College of Health Sciences,Private,Plains,,0.7167,1070,0.8732876712,48500,593,0.3333,26429,12711,0.3174,0.7082,2013-01-01
Central Community College,Public,Plains,,,,0.6019283747,29200,4321,,10671,3900,0.3326,0.2151,2013-01-01
Chadron State College,Public,Plains,,,,0.5410788382,37000,2131,0.1663,15402,5630,0.2492,0.4565,2013-01-01
Concordia University-Nebraska,Private,Plains,,0.7152,1091,0.4744897959,36900,1185,0.4205,33226,24750,0.0405,0.5395,2013-01-01
Creighton University,Private,Plains,,0.7665,1214,0.627184466,56100,3943,0.6737,46248,34330,0.0775,0.7041,2013-01-01
Doane University-Arts & Sciences,Private,Plains,,0.7173,1077,0.53420806,44200,1111,0.5097,36370,26180,0.0144,0.8425,2013-01-01
Grace University,Private,Plains,,0.5846,995,0.4944649446,31200,410,0.2317,27873,18256,0.1463,0.655,2013-01-01
Hastings College,Private,Plains,,0.7364,1083,0.4659498208,41700,1060,0.4338,35673,25520,0.0286,0.6912,2013-01-01
