County,Year,State,Region,Distance from Metro,Persistent Poverty,Access to Healthcare,% Obese,% Poor Health,Quality of Healthcare,Sexually Transmitted Infections,% Single-Parent Households,% Smokers,% Some College,% Uninsured,Violent Crime Rate
Waldo,2015-01-01,Maine,Northeast,Adjacent to Metropolitan,No,72,30,12,69.9,142,38,19,58.6,14,74
Washington,2015-01-01,Maine,Northeast,Far from Metropolitan,No,62,32,18,66.6,256,34,23,54.8,17,224
York,2015-01-01,Maine,Northeast,In Metropolitan,No,78,27,12,69.6,262,28,19,65,11,133
Allegany,2015-01-01,Maryland,South,In Metropolitan,No,64,28,18,73.7,262,35,23,52.5,11,374
Anne Arundel,2015-01-01,Maryland,South,In Metropolitan,No,70,28,11,64.3,280,25,16,71.2,9,507
Baltimore,2015-01-01,Maryland,South,In Metropolitan,No,105,28,14,65.5,370,35,17,69.9,11,526
Calvert,2015-01-01,Maryland,South,In Metropolitan,No,49,30,12,68.2,300,22,20,64.5,8,170
Caroline,2015-01-01,Maryland,South,Adjacent to Metropolitan,No,31,33,18,63.5,373,34,23,45.7,14,356
Carroll,2015-01-01,Maryland,South,In Metropolitan,No,60,28,13,65.6,157,20,18,69,8,180
Cecil,2015-01-01,Maryland,South,In Metropolitan,No,35,33,15,60.6,209,26,24,57,11,588
Charles,2015-01-01,Maryland,South,In Metropolitan,No,49,34,13,61.9,557,31,16,67.4,9,422
Dorchester,2015-01-01,Maryland,South,Adjacent to Metropolitan,No,43,35,16,64.7,513,43,18,50.4,13,504
Frederick,2015-01-01,Maryland,South,In Metropolitan,No,59,27,11,61.6,243,23,15,73.3,9,274
Garrett,2015-01-01,Maryland,South,Adjacent to Metropolitan,No,47,31,18,64.1,191,24,20,49.1,13,207
Harford,2015-01-01,Maryland,South,In Metropolitan,No,60,30,13,64.9,180,27,18,71.3,9,296
Howard,2015-01-01,Maryland,South,In Metropolitan,No,196,23,9,66.3,164,22,8,84,7,201
Kent,2015-01-01,Maryland,South,Adjacent to Metropolitan,No,104,28,13,70.6,272,37,18,55.1,13,339
Montgomery,2015-01-01,Maryland,South,In Metropolitan,No,135,19,9,63.7,241,24,8,76.9,13,182
Prince George's,2015-01-01,Maryland,South,In Metropolitan,No,56,34,13,61.7,685,45,14,59.3,16,624
Queen Anne's,2015-01-01,Maryland,South,In Metropolitan,No,39,27,10,66,198,28,18,64.6,10,250
St. Mary's,2015-01-01,Maryland,South,In Metropolitan,No,37,29,12,65.9,277,24,19,68.6,9,266
Somerset,2015-01-01,Maryland,South,In Metropolitan,No,34,36,16,65.8,556,56,24,38.5,15,312
Talbot,2015-01-01,Maryland,South,Adjacent to Metropolitan,No,89,28,14,74.5,354,33,12,62.6,13,223
Washington,2015-01-01,Maryland,South,In Metropolitan,No,58,33,15,63,329,33,21,55.2,12,288
Wicomico,2015-01-01,Maryland,South,In Metropolitan,No,77,35,14,65.9,704,43,19,60.4,14,625
Worcester,2015-01-01,Maryland,South,In Metropolitan,No,70,31,13,70.9,423,35,18,61.1,13,447
Baltimore City,2015-01-01,Maryland,South,In Metropolitan,Yes,93,34,19,63.7,1242,66,24,59,14,1449
Barnstable,2015-01-01,Massachusetts,Northeast,In Metropolitan,No,94,18,8,77.8,205,34,14,67.1,5,448
Berkshire,2015-01-01,Massachusetts,Northeast,In Metropolitan,No,112,23,12,72.6,259,35,17,61.8,4,403
Bristol,2015-01-01,Massachusetts,Northeast,In Metropolitan,No,52,29,15,75.2,295,34,20,60.3,5,556
Dukes,2015-01-01,Massachusetts,Northeast,Far from Metropolitan,No,106,22,,69.3,241,30,12,76.4,6,236
Essex,2015-01-01,Massachusetts,Northeast,In Metropolitan,No,77,24,13,75,359,33,14,68.4,5,370
Franklin,2015-01-01,Massachusetts,Northeast,Adjacent to Metropolitan,No,67,22,10,71.4,154,33,19,66.3,4,379
Hampden,2015-01-01,Massachusetts,Northeast,In Metropolitan,No,73,29,15,72,613,47,19,57.9,5,641
Hampshire,2015-01-01,Massachusetts,Northeast,In Metropolitan,No,144,22,10,77.2,229,30,12,76.2,4,245
Middlesex,2015-01-01,Massachusetts,Northeast,In Metropolitan,No,118,23,9,73.9,236,21,11,78.2,4,257
Nantucket,2015-01-01,Massachusetts,Northeast,Far from Metropolitan,No,58,20,,70.9,243,23,15,73.3,6,460
Norfolk,2015-01-01,Massachusetts,Northeast,In Metropolitan,No,138,20,9,74.6,218,19,12,81.3,3,203
Plymouth,2015-01-01,Massachusetts,Northeast,In Metropolitan,No,62,26,11,73.1,301,25,18,67.6,4,432
Suffolk,2015-01-01,Massachusetts,Northeast,In Metropolitan,No,145,21,17,73,817,53,15,70.5,6,910
Worcester,2015-01-01,Massachusetts,Northeast,In Metropolitan,No,102,26,12,69.2,288,29,18,67.4,5,447
Alcona,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,47,31,13,73.4,103,27,30,55.1,17,141
Alger,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,52,32,,70.1,52,31,,41.5,16,164
Allegan,2015-01-01,Michigan,Midwest,Adjacent to Metropolitan,No,28,34,13,68,233,24,20,55.6,13,217
Alpena,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,86,35,15,70.1,113,24,22,66,15,179
Antrim,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,34,32,18,70.1,209,27,21,53.8,16,166
Arenac,2015-01-01,Michigan,Midwest,Adjacent to Metropolitan,No,32,35,24,72.1,142,27,32,47.7,16,173
Baraga,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,104,32,17,60.7,115,35,24,33.2,16,313
Barry,2015-01-01,Michigan,Midwest,In Metropolitan,No,36,36,14,75.6,185,21,21,59.7,11,166
Bay,2015-01-01,Michigan,Midwest,In Metropolitan,No,54,32,13,65.3,284,34,23,64.1,12,305
Benzie,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,34,30,,70.3,206,32,12,57.4,17,107
Berrien,2015-01-01,Michigan,Midwest,In Metropolitan,No,88,36,17,64.1,603,38,20,61.2,16,391
Branch,2015-01-01,Michigan,Midwest,Adjacent to Metropolitan,No,43,35,22,59.5,237,31,15,48.2,15,186
Calhoun,2015-01-01,Michigan,Midwest,In Metropolitan,No,61,35,19,68.3,589,43,26,58.9,14,639
Cass,2015-01-01,Michigan,Midwest,In Metropolitan,No,13,36,16,61.4,195,31,24,53.5,15,162
Charlevoix,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,96,27,10,74.2,231,30,20,60.4,14,150
Cheboygan,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,62,33,14,70.5,159,32,22,51.2,17,134
Chippewa,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,62,38,15,71.3,265,32,22,53.8,17,253
Clare,2015-01-01,Michigan,Midwest,Adjacent to Metropolitan,No,33,31,22,65.4,140,37,26,51.8,16,155
Clinton,2015-01-01,Michigan,Midwest,In Metropolitan,No,41,35,11,68.7,178,25,16,75.3,10,106
Crawford,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,79,29,,72,200,39,35,51.5,14,289
Delta,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,65,32,15,69.8,182,25,22,65.4,14,177
Dickinson,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,84,31,13,72,256,27,28,60.4,12,
Eaton,2015-01-01,Michigan,Midwest,In Metropolitan,No,39,34,15,70.4,294,30,21,71.4,11,176
Emmet,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,134,28,15,77.1,277,27,21,67.8,15,121
Genesee,2015-01-01,Michigan,Midwest,In Metropolitan,No,93,37,19,69.5,756,44,23,62.7,12,854
Gladwin,2015-01-01,Michigan,Midwest,Adjacent to Metropolitan,No,39,36,25,66.4,165,29,28,54.8,15,206
Gogebic,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,99,27,,49.4,224,42,14,56.1,16,104
Grand Traverse,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,150,31,9,75,282,28,17,68.1,14,155
Gratiot,2015-01-01,Michigan,Midwest,Adjacent to Metropolitan,No,67,36,17,62.9,219,36,27,52.7,12,138
Hillsdale,2015-01-01,Michigan,Midwest,Adjacent to Metropolitan,No,32,33,16,66.2,199,27,24,54.2,15,199
Houghton,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,77,26,15,63.4,88,25,14,69.5,16,84
Huron,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,59,31,15,70.2,105,31,20,52.3,14,123
Ingham,2015-01-01,Michigan,Midwest,In Metropolitan,No,107,32,13,65.2,647,35,19,74.6,13,536
Ionia,2015-01-01,Michigan,Midwest,Adjacent to Metropolitan,No,31,34,14,63.8,210,28,19,55.5,13,175
Iosco,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,59,32,13,66.6,75,33,22,52.9,16,206
Iron,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,52,32,,62.7,130,34,19,58.4,15,173
Isabella,2015-01-01,Michigan,Midwest,Adjacent to Metropolitan,No,50,31,9,63,350,35,20,66.6,16,186
Jackson,2015-01-01,Michigan,Midwest,In Metropolitan,No,48,35,13,65.8,475,35,21,59.2,12,366
Kalamazoo,2015-01-01,Michigan,Midwest,In Metropolitan,No,95,29,15,68.3,717,36,18,75.2,12,400
Kalkaska,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,35,30,35,64.7,246,30,36,45.2,15,307
Kent,2015-01-01,Michigan,Midwest,In Metropolitan,No,90,29,12,67.5,572,32,18,68.1,13,409
Keweenaw,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,,33,,63.3,361,29,,64.7,16,139
Lake,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,17,33,,67.7,174,46,34,43,18,286
Lapeer,2015-01-01,Michigan,Midwest,In Metropolitan,No,41,33,13,61.4,154,23,21,58.4,13,156
Leelanau,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,32,24,,74,185,23,,67.8,16,42
Lenawee,2015-01-01,Michigan,Midwest,Adjacent to Metropolitan,No,31,32,10,67.7,219,31,17,61.2,13,243
Livingston,2015-01-01,Michigan,Midwest,In Metropolitan,No,46,28,9,68.8,158,19,17,75.9,9,98
Luce,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,123,35,18,68.4,,35,,40.2,15,343
Mackinac,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,90,33,12,64.4,144,31,24,56.7,19,222
Macomb,2015-01-01,Michigan,Midwest,In Metropolitan,No,59,32,13,62.2,279,29,19,67.4,14,303
Manistee,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,53,30,17,70.8,105,35,31,52.7,15,194
Marquette,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,115,29,12,70.2,250,25,21,71.2,13,158
Mason,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,70,30,21,74.5,188,35,23,62.9,15,250
Mecosta,2015-01-01,Michigan,Midwest,Adjacent to Metropolitan,No,48,32,9,71.4,300,30,29,58,15,543
Menominee,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,38,33,15,65.7,256,40,29,60.4,15,170
Midland,2015-01-01,Michigan,Midwest,In Metropolitan,No,93,30,11,74.7,172,25,19,71.8,11,127
Missaukee,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,27,32,13,70.4,120,31,20,48.1,15,63
Monroe,2015-01-01,Michigan,Midwest,In Metropolitan,No,36,33,15,60.9,224,28,20,61.9,11,267
Montcalm,2015-01-01,Michigan,Midwest,In Metropolitan,No,40,30,14,68.1,309,32,23,50.8,15,232
Montmorency,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,63,32,,64.6,95,37,31,49.3,17,82
Muskegon,2015-01-01,Michigan,Midwest,In Metropolitan,No,71,36,16,74.8,797,40,27,57,13,472
Newaygo,2015-01-01,Michigan,Midwest,Adjacent to Metropolitan,No,35,33,16,66.4,292,25,23,48.8,15,243
Oakland,2015-01-01,Michigan,Midwest,In Metropolitan,No,150,27,11,65.1,284,25,15,78.6,11,223
Oceana,2015-01-01,Michigan,Midwest,Adjacent to Metropolitan,No,49,33,19,78.6,319,27,22,48.9,19,177
Ogemaw,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,47,35,17,65.7,168,40,20,51.1,15,211
Ontonagon,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,31,34,,63.7,,28,,56.6,15,129
Osceola,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,34,36,12,70.4,163,36,21,50.1,15,261
Oscoda,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,35,33,,75.5,58,29,22,46.8,18,297
Otsego,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,67,34,13,68.5,196,26,24,65.1,13,182
Ottawa,2015-01-01,Michigan,Midwest,In Metropolitan,No,59,25,10,71.8,281,20,16,68,11,168
Presque Isle,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,15,33,,71.6,130,33,16,60.4,15,131
Roscommon,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,33,32,24,73.5,191,49,26,54.5,16,199
Saginaw,2015-01-01,Michigan,Midwest,In Metropolitan,No,85,39,15,68.3,633,41,19,62.8,12,819
St. Clair,2015-01-01,Michigan,Midwest,In Metropolitan,No,50,30,17,61.8,273,32,25,59.7,13,257
St. Joseph,2015-01-01,Michigan,Midwest,Adjacent to Metropolitan,No,38,34,18,63.2,291,31,22,48.8,15,294
Sanilac,2015-01-01,Michigan,Midwest,Adjacent to Metropolitan,No,35,36,14,63.5,163,26,25,49.4,15,196
Schoolcraft,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,60,29,,75,144,33,,49,16,253
Shiawassee,2015-01-01,Michigan,Midwest,Adjacent to Metropolitan,No,45,36,17,69,224,32,21,60.7,13,236
Tuscola,2015-01-01,Michigan,Midwest,Adjacent to Metropolitan,No,27,31,15,64.6,179,28,21,57.2,13,177
Van Buren,2015-01-01,Michigan,Midwest,In Metropolitan,No,57,33,19,64.8,255,32,20,54.8,16,312
Washtenaw,2015-01-01,Michigan,Midwest,In Metropolitan,No,167,24,10,71.5,412,27,12,83.5,10,317
Wayne,2015-01-01,Michigan,Midwest,In Metropolitan,No,66,34,18,58.7,978,47,21,59.1,16,1089
Wexford,2015-01-01,Michigan,Midwest,Far from Metropolitan,No,98,33,19,72.9,285,33,24,57.2,13,325
Aitkin,2015-01-01,Minnesota,Midwest,Adjacent to Metropolitan,No,82,27,17,78,126,33,14,63.8,12,129
Anoka,2015-01-01,Minnesota,Midwest,In Metropolitan,No,57,30,12,62.1,288,24,17,71.6,8,157
Becker,2015-01-01,Minnesota,Midwest,Adjacent to Metropolitan,No,91,29,10,68.1,191,30,17,66.6,12,87
Beltrami,2015-01-01,Minnesota,Midwest,Far from Metropolitan,No,97,29,11,70.7,461,41,30,64.7,14,286
Benton,2015-01-01,Minnesota,Midwest,In Metropolitan,No,23,27,12,70.7,252,30,15,67.3,8,138
Big Stone,2015-01-01,Minnesota,Midwest,Far from Metropolitan,No,97,28,,77.4,78,23,,71,10,57
Blue Earth,2015-01-01,Minnesota,Midwest,In Metropolitan,No,95,26,11,70.4,403,24,18,72.8,9,197
Brown,2015-01-01,Minnesota,Midwest,Adjacent to Metropolitan,No,106,30,10,75.6,138,25,23,68.9,8,31
Carlton,2015-01-01,Minnesota,Midwest,In Metropolitan,No,65,29,10,64.4,283,29,16,68.4,10,120
Carver,2015-01-01,Minnesota,Midwest,In Metropolitan,No,89,26,8,65.8,119,15,14,81.5,6,63
Cass,2015-01-01,Minnesota,Midwest,Far from Metropolitan,No,35,28,13,63.4,261,35,16,61.4,14,272
Chippewa,2015-01-01,Minnesota,Midwest,Far from Metropolitan,No,82,30,17,63.3,115,26,25,62.1,11,150
Chisago,2015-01-01,Minnesota,Midwest,In Metropolitan,No,56,28,13,60.9,189,24,26,64.5,8,79
Clay,2015-01-01,Minnesota,Midwest,In Metropolitan,No,27,30,11,70.7,316,25,17,73.2,8,115
Clearwater,2015-01-01,Minnesota,Midwest,Adjacent to Metropolitan,No,46,32,9,41.9,184,29,20,54.6,14,274
Cook,2015-01-01,Minnesota,Midwest,Far from Metropolitan,No,116,25,10,68,116,39,,62.6,13,134
Cottonwood,2015-01-01,Minnesota,Midwest,Far from Metropolitan,No,60,29,22,73.7,173,30,,63.5,10,119
Crow Wing,2015-01-01,Minnesota,Midwest,Adjacent to Metropolitan,No,99,27,16,63.8,196,30,17,72.8,10,157
Dakota,2015-01-01,Minnesota,Midwest,In Metropolitan,No,67,25,10,65.3,248,25,15,77.7,8,120
Dodge,2015-01-01,Minnesota,Midwest,In Metropolitan,No,30,33,,71.9,292,24,20,69,8,193
Douglas,2015-01-01,Minnesota,Midwest,Adjacent to Metropolitan,No,110,26,11,66.1,151,20,21,73.9,9,106
Faribault,2015-01-01,Minnesota,Midwest,Adjacent to Metropolitan,No,35,28,10,59.4,140,35,17,59.6,10,98
Fillmore,2015-01-01,Minnesota,Midwest,In Metropolitan,No,24,25,9,75.2,144,22,16,64.9,11,43
Freeborn,2015-01-01,Minnesota,Midwest,Far from Metropolitan,No,68,31,14,63.5,325,38,19,60.9,10,121
Goodhue,2015-01-01,Minnesota,Midwest,Adjacent to Metropolitan,No,76,30,9,68.2,242,25,19,69.6,9,123
Grant,2015-01-01,Minnesota,Midwest,Far from Metropolitan,No,17,29,,80,101,35,,71,10,61
Hennepin,2015-01-01,Minnesota,Midwest,In Metropolitan,No,115,22,9,61.8,492,32,14,78.6,10,431
Houston,2015-01-01,Minnesota,Midwest,In Metropolitan,No,64,26,10,76,149,26,13,67.3,9,81
Hubbard,2015-01-01,Minnesota,Midwest,Far from Metropolitan,No,98,27,13,74.8,74,30,17,63.6,12,83
Isanti,2015-01-01,Minnesota,Midwest,In Metropolitan,No,78,30,13,63.1,175,25,21,64.3,9,70
Itasca,2015-01-01,Minnesota,Midwest,Adjacent to Metropolitan,No,106,29,14,70.7,283,27,20,67.5,11,214
Jackson,2015-01-01,Minnesota,Midwest,Far from Metropolitan,No,19,31,6,65.3,175,24,12,65.6,8,81
Kanabec,2015-01-01,Minnesota,Midwest,Adjacent to Metropolitan,No,75,25,14,61.2,88,28,21,56.9,10,295
Kandiyohi,2015-01-01,Minnesota,Midwest,Adjacent to Metropolitan,No,113,28,10,75.7,276,34,22,64.4,11,177
Kittson,2015-01-01,Minnesota,Midwest,Far from Metropolitan,No,,31,,73.1,,27,,68.6,9,22
Koochiching,2015-01-01,Minnesota,Midwest,Adjacent to Metropolitan,No,30,27,12,70,151,23,16,65,12,184
Lac qui Parle,2015-01-01,Minnesota,Midwest,Far from Metropolitan,No,70,27,,59.5,,22,,66.3,9,50
Lake,2015-01-01,Minnesota,Midwest,Adjacent to Metropolitan,No,92,30,20,70.5,240,21,19,66.4,9,89
Lake of the Woods,2015-01-01,Minnesota,Midwest,Far from Metropolitan,No,50,29,,52.2,151,24,,55.1,11,58
Le Sueur,2015-01-01,Minnesota,Midwest,In Metropolitan,No,11,30,13,65.8,148,26,13,62.9,9,64
Lincoln,2015-01-01,Minnesota,Midwest,Far from Metropolitan,No,69,29,,73.7,103,21,21,71.1,10,96
Lyon,2015-01-01,Minnesota,Midwest,Far from Metropolitan,No,70,29,12,77.3,196,25,18,68.2,9,153
McLeod,2015-01-01,Minnesota,Midwest,Adjacent to Metropolitan,No,83,32,8,61.9,172,25,14,69.9,9,132
Mahnomen,2015-01-01,Minnesota,Midwest,Adjacent to Metropolitan,No,90,31,,58.3,343,47,35,52.7,14,356
Marshall,2015-01-01,Minnesota,Midwest,Adjacent to Metropolitan,No,11,28,11,75.5,106,22,,63.4,10,84
Martin,2015-01-01,Minnesota,Midwest,Far from Metropolitan,No,93,28,11,69.4,122,30,18,64.1,9,77
Meeker,2015-01-01,Minnesota,Midwest,Adjacent to Metropolitan,No,52,29,10,62.7,117,23,21,65.6,9,135
Mille Lacs,2015-01-01,Minnesota,Midwest,In Metropolitan,No,93,29,13,58.3,272,31,25,62.1,11,178
Morrison,2015-01-01,Minnesota,Midwest,Adjacent to Metropolitan,No,48,29,17,64.3,160,24,21,62.3,11,75
Mower,2015-01-01,Minnesota,Midwest,Adjacent to Metropolitan,No,51,30,12,70.5,229,33,14,57.5,12,218
Murray,2015-01-01,Minnesota,Midwest,Far from Metropolitan,No,12,33,,78.9,82,26,,67.8,10,34
Nicollet,2015-01-01,Minnesota,Midwest,In Metropolitan,No,88,28,8,71.9,228,24,7,74.8,7,99
Nobles,2015-01-01,Minnesota,Midwest,Far from Metropolitan,No,79,28,,71.4,214,33,10,47.3,15,141
Norman,2015-01-01,Minnesota,Midwest,Adjacent to Metropolitan,No,30,31,12,56.4,75,26,19,58.4,10,36
Olmsted,2015-01-01,Minnesota,Midwest,In Metropolitan,No,233,22,6,80.5,313,26,12,78.5,8,177
Otter Tail,2015-01-01,Minnesota,Midwest,Adjacent to Metropolitan,No,56,26,12,66.7,127,23,17,68.5,10,85
Pennington,2015-01-01,Minnesota,Midwest,Adjacent to Metropolitan,No,78,26,,78.7,171,27,19,69.3,9,131
Pine,2015-01-01,Minnesota,Midwest,Adjacent to Metropolitan,No,17,27,13,63.3,199,31,19,51.8,11,146
Pipestone,2015-01-01,Minnesota,Midwest,Adjacent to Metropolitan,No,54,29,,70.5,86,27,,59,11,31
Polk,2015-01-01,Minnesota,Midwest,In Metropolitan,No,60,32,11,65.9,226,26,24,70.3,9,208
Pope,2015-01-01,Minnesota,Midwest,Adjacent to Metropolitan,No,92,28,9,71.2,101,18,15,67.2,9,61
Ramsey,2015-01-01,Minnesota,Midwest,In Metropolitan,No,105,25,11,62.2,518,35,15,71.4,11,461
Red Lake,2015-01-01,Minnesota,Midwest,Adjacent to Metropolitan,No,,32,,,294,27,,62.5,11,57
Redwood,2015-01-01,Minnesota,Midwest,Far from Metropolitan,No,50,30,7,71.4,101,24,19,62.5,11,166
Renville,2015-01-01,Minnesota,Midwest,Adjacent to Metropolitan,No,39,33,18,71.2,156,30,15,59.2,10,87
Rice,2015-01-01,Minnesota,Midwest,Adjacent to Metropolitan,No,97,27,11,76.2,185,29,10,62,10,140
Rock,2015-01-01,Minnesota,Midwest,Adjacent to Metropolitan,No,94,27,,55.4,126,28,,68.4,9,787
Roseau,2015-01-01,Minnesota,Midwest,Far from Metropolitan,No,58,34,9,65.5,110,28,11,61.1,9,70
St. Louis,2015-01-01,Minnesota,Midwest,In Metropolitan,No,118,26,13,65,374,34,22,72.9,9,233
Scott,2015-01-01,Minnesota,Midwest,In Metropolitan,No,60,25,9,71,182,16,13,79.3,7,126
Sherburne,2015-01-01,Minnesota,Midwest,In Metropolitan,No,47,30,14,64.8,202,19,24,73.8,8,111
Sibley,2015-01-01,Minnesota,Midwest,In Metropolitan,No,20,28,,60,132,27,,56.6,11,0
Stearns,2015-01-01,Minnesota,Midwest,In Metropolitan,No,107,28,10,67.3,265,24,14,74.2,9,197
Steele,2015-01-01,Minnesota,Midwest,Far from Metropolitan,No,94,26,7,67.5,231,28,14,66.2,8,110
Stevens,2015-01-01,Minnesota,Midwest,Far from Metropolitan,No,72,30,19,80.5,72,20,,78,9,120
Swift,2015-01-01,Minnesota,Midwest,Far from Metropolitan,No,52,29,,73.7,83,20,24,66.6,9,126
Todd,2015-01-01,Minnesota,Midwest,Adjacent to Metropolitan,No,78,28,13,60.6,82,22,15,58.6,13,99
Traverse,2015-01-01,Minnesota,Midwest,Far from Metropolitan,No,29,30,,73.8,145,20,,69.3,12,196
Wabasha,2015-01-01,Minnesota,Midwest,In Metropolitan,No,75,30,9,77.8,265,28,14,62.7,9,47
Wadena,2015-01-01,Minnesota,Midwest,Far from Metropolitan,No,65,28,14,64.2,58,26,,66.9,10,156
Waseca,2015-01-01,Minnesota,Midwest,Adjacent to Metropolitan,No,36,30,11,71.9,239,23,,60.8,9,140
Washington,2015-01-01,Minnesota,Midwest,In Metropolitan,No,113,25,9,65.9,161,23,15,79.8,6,74
Watonwan,2015-01-01,Minnesota,Midwest,Adjacent to Metropolitan,No,45,29,8,77,295,34,,48.9,15,92
Wilkin,2015-01-01,Minnesota,Midwest,Adjacent to Metropolitan,No,15,29,,58.5,182,21,,68.5,8,71
Winona,2015-01-01,Minnesota,Midwest,Adjacent to Metropolitan,No,48,27,9,68.8,263,18,15,69.1,10,104
Wright,2015-01-01,Minnesota,Midwest,In Metropolitan,No,46,28,9,62.8,155,21,16,75.5,8,76
Yellow Medicine,2015-01-01,Minnesota,Midwest,Far from Metropolitan,No,79,28,,65.3,148,25,30,63,10,115
Adams,2015-01-01,Mississippi,South,Far from Metropolitan,Yes,81,37,23,65.1,853,55,23,51.3,20,338
Alcorn,2015-01-01,Mississippi,South,Far from Metropolitan,No,40,33,26,54.8,433,35,23,54.9,19,
Amite,2015-01-01,Mississippi,South,Adjacent to Metropolitan,Yes,15,38,22,50.4,409,41,27,50.5,23,
Attala,2015-01-01,Mississippi,South,Adjacent to Metropolitan,Yes,52,39,30,61.9,882,50,20,52.6,20,
Benton,2015-01-01,Mississippi,South,In Metropolitan,Yes,,39,21,50,286,30,26,44.6,21,
Bolivar,2015-01-01,Mississippi,South,Far from Metropolitan,Yes,53,34,20,47.3,1487,64,22,55.1,19,263
Calhoun,2015-01-01,Mississippi,South,Far from Metropolitan,No,20,34,23,51.9,802,42,24,42,23,
Carroll,2015-01-01,Mississippi,South,Far from Metropolitan,No,19,35,20,61.1,557,48,23,51.8,23,113
Chickasaw,2015-01-01,Mississippi,South,Far from Metropolitan,Yes,40,36,24,56.3,1143,53,21,43.6,21,202
Choctaw,2015-01-01,Mississippi,South,Far from Metropolitan,Yes,36,34,19,55.7,300,30,16,52.5,20,157
Claiborne,2015-01-01,Mississippi,South,Adjacent to Metropolitan,Yes,32,42,21,58.9,1776,73,18,58.4,20,503
Clarke,2015-01-01,Mississippi,South,Far from Metropolitan,Yes,24,34,21,58.7,755,44,19,52.2,21,
Clay,2015-01-01,Mississippi,South,Far from Metropolitan,Yes,44,39,27,62.6,573,59,25,53.9,20,384
Coahoma,2015-01-01,Mississippi,South,Far from Metropolitan,Yes,70,44,24,49.4,1988,72,23,58.3,19,717
Copiah,2015-01-01,Mississippi,South,In Metropolitan,Yes,38,37,24,52,964,44,26,52,20,
Covington,2015-01-01,Mississippi,South,Adjacent to Metropolitan,Yes,31,37,26,58.5,663,48,26,47.4,22,
DeSoto,2015-01-01,Mississippi,South,In Metropolitan,No,28,35,15,56.9,542,31,23,64.9,16,176
Forrest,2015-01-01,Mississippi,South,In Metropolitan,Yes,56,35,20,53.1,1069,44,23,62.8,21,176
Franklin,2015-01-01,Mississippi,South,Far from Metropolitan,Yes,38,38,24,49.6,644,41,27,47.2,20,193
George,2015-01-01,Mississippi,South,Adjacent to Metropolitan,No,35,35,23,53.7,467,33,23,49.5,20,64
Greene,2015-01-01,Mississippi,South,Adjacent to Metropolitan,No,7,40,29,47.4,363,33,26,36,22,50
Grenada,2015-01-01,Mississippi,South,Far from Metropolitan,Yes,46,38,26,53.4,821,45,28,51.9,19,394
Hancock,2015-01-01,Mississippi,South,In Metropolitan,No,38,29,19,63.2,385,33,23,58.4,21,
Harrison,2015-01-01,Mississippi,South,In Metropolitan,No,53,34,20,57.8,733,42,27,58.9,21,233
Hinds,2015-01-01,Mississippi,South,In Metropolitan,No,80,36,21,61.3,1238,59,21,63,21,732
Holmes,2015-01-01,Mississippi,South,Adjacent to Metropolitan,Yes,43,45,24,48,1623,72,27,43.5,20,
Humphreys,2015-01-01,Mississippi,South,Adjacent to Metropolitan,Yes,44,42,32,46.2,1687,72,19,45.2,21,
Issaquena,2015-01-01,Mississippi,South,Adjacent to Metropolitan,Yes,0,37,,,649,44,,31.7,22,
Itawamba,2015-01-01,Mississippi,South,Far from Metropolitan,No,21,33,27,50.9,488,25,28,53,20,122
